ORDEM;LOTE;PRODUTO;SITUACAO;COR;DESENHO;VARIANTE;CATEGORIA;NRO_ROLO;METROS;PESO_BRUTO;PESO_LIQUIDO;LARGURA;NRO;ROLO_PL;NRO_PECA;AVISO;FORNECEDOR;TEAR;Num_Etq_Aux
000014;T237L9;000014;001;00005;00000;00000;01;0000266440;90,1;27,7;27,3;1,40;178;178;001;000249;W;000178;W000178266440001
000014;T237L9;000014;001;00005;00000;00000;01;0000266441;100,1;30,7;30,3;1,40;179;179;001;000249;W;000179;W000179266441001
000014;T237L9;000014;001;00005;00000;00000;01;0000266442;97,3;29,9;29,5;1,40;180;180;001;000249;W;000180;W000180266442001
000014;T237L1;000014;001;00012;00000;00000;01;0000266443;104,3;32,0;31,6;1,40;181;1;001;000249;W;000001;W000001266443001
000014;T237L1;000014;001;00012;00000;00000;01;0000266444;83,7;25,8;25,4;1,40;182;2;001;000249;W;000002;W000002266444001
000014;T237L1;000014;001;00012;00000;00000;01;0000266445;100,6;30,9;30,5;1,40;183;3;001;000249;W;000003;W000003266445001
000014;T237L1;000014;001;00012;00000;00000;01;0000266446;88,9;27,3;26,9;1,40;184;4;001;000249;W;000004;W000004266446001
000014;T237L1;000014;001;00012;00000;00000;01;0000266447;100,6;30,9;30,5;1,40;185;5;001;000249;W;000005;W000005266447001
000014;T237L1;000014;001;00012;00000;00000;01;0000266448;103,9;31,9;31,5;1,40;186;6;001;000249;W;000006;W000006266448001
000014;T237L1;000014;001;00012;00000;00000;01;0000266449;108,8;33,4;33,0;1,40;187;7;001;000249;W;000007;W000007266449001
000014;T237L1;000014;001;00012;00000;00000;01;0000266450;106,3;32,6;32,2;1,40;188;8;001;000249;W;000008;W000008266450001
000014;T237L1;000014;001;00012;00000;00000;01;0000266451;103,7;31,8;31,4;1,40;189;9;001;000249;W;000009;W000009266451001
000014;T237L1;000014;001;00012;00000;00000;01;0000266452;92,4;28,4;28,0;1,40;190;10;001;000249;W;000010;W000010266452001
000014;T237L1;000014;001;00012;00000;00000;01;0000266453;104,2;32,0;31,6;1,40;191;11;001;000249;W;000011;W000011266453001
000014;T237L1;000014;001;00012;00000;00000;01;0000266454;86,8;26,7;26,3;1,40;192;12;001;000249;W;000012;W000012266454001
000014;T237L1;000014;001;00012;00000;00000;01;0000266455;104,5;32,1;31,7;1,40;193;13;001;000249;W;000013;W000013266455001
000014;T237L1;000014;001;00012;00000;00000;01;0000266456;63;19,5;19,1;1,40;194;14;001;000249;W;000014;W000014266456001
000014;T237L1;000014;001;00012;00000;00000;01;0000266457;100,9;31,0;30,6;1,40;195;15;001;000249;W;000015;W000015266457001
000014;T237L1;000014;001;00012;00000;00000;01;0000266458;102,6;31,5;31,1;1,40;196;16;001;000249;W;000016;W000016266458001
000014;T237L2;000014;001;00012;00000;00000;01;0000266459;100,8;30,9;30,5;1,40;197;17;001;000249;W;000017;W000017266459001
000014;T237L2;000014;001;00012;00000;00000;01;0000266460;101,7;31,2;30,8;1,40;198;18;001;000249;W;000018;W000018266460001
000014;T237L2;000014;001;00012;00000;00000;01;0000266461;100;30,7;30,3;1,40;199;19;001;000249;W;000019;W000019266461001
000014;T237L2;000014;001;00012;00000;00000;01;0000266462;101,9;31,3;30,9;1,40;200;20;001;000249;W;000020;W000020266462001
